danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Track,Artist
0.898,0.734,7,-4.028,1,0.0427,0.587,5.18e-06,0.0912,0.94,115.948,audio_features,6maTPqynTmrkWIralgGaoP,spotify:track:6maTPqynTmrkWIralgGaoP,https://api.spotify.com/v1/tracks/6maTPqynTmrkWIralgGaoP,https://api.spotify.com/v1/audio-analysis/6maTPqynTmrkWIralgGaoP,142759,4,If We Ever Broke Up,Mae Stephens
0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,audio_features,6habFhsOp2NvshLv26DqMb,spotify:track:6habFhsOp2NvshLv26DqMb,https://api.spotify.com/v1/tracks/6habFhsOp2NvshLv26DqMb,https://api.spotify.com/v1/audio-analysis/6habFhsOp2NvshLv26DqMb,229360,4,Despacito,Luis Fonsi
0.831,0.643,1,-5.002,1,0.11,0.046,0.0,0.084,0.142,139.948,audio_features,77DRzu7ERs0TX3roZcre7Q,spotify:track:77DRzu7ERs0TX3roZcre7Q,https://api.spotify.com/v1/tracks/77DRzu7ERs0TX3roZcre7Q,https://api.spotify.com/v1/audio-analysis/77DRzu7ERs0TX3roZcre7Q,383639,4,euphoria,Kendrick Lamar
0.491,0.775,5,-6.023,0,0.392,0.269,0.0,0.116,0.23,193.451,audio_features,4vI1Z6EL8bqA7YE1fKzRyp,spotify:track:4vI1Z6EL8bqA7YE1fKzRyp,https://api.spotify.com/v1/tracks/4vI1Z6EL8bqA7YE1fKzRyp,https://api.spotify.com/v1/audio-analysis/4vI1Z6EL8bqA7YE1fKzRyp,167129,4,Panda Basi,Mvua
0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,audio_features,0WtM2NBVQNNJLh6scP13H8,spotify:track:0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/tracks/0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,239318,4,Calm Down (with Selena Gomez),Rema
0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4,Shape of You,Ed Sheeran
0.582,0.291,3,-9.71,1,0.233,0.433,0.0,0.264,0.396,100.281,audio_features,1qO4oqUTzmtZd960LCuDUD,spotify:track:1qO4oqUTzmtZd960LCuDUD,https://api.spotify.com/v1/tracks/1qO4oqUTzmtZd960LCuDUD,https://api.spotify.com/v1/audio-analysis/1qO4oqUTzmtZd960LCuDUD,166500,4,Mitu,Maian
0.513,0.73,1,-5.94,1,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4,Blinding Lights,The Weeknd
0.716,0.613,1,-6.018,0,0.0522,0.391,0.0,0.0813,0.157,97.914,audio_features,2dHHgzDwk4BJdRwy9uXhTO,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/tracks/2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/audio-analysis/2dHHgzDwk4BJdRwy9uXhTO,221520,4,Creepin' (with The Weeknd & 21 Savage),Metro Boomin
0.672,0.781,9,-12.26,1,0.0354,0.385,0.0,0.192,0.96,132.978,audio_features,3duWVvXdyhAOEInLZoK3Pn,spotify:track:3duWVvXdyhAOEInLZoK3Pn,https://api.spotify.com/v1/tracks/3duWVvXdyhAOEInLZoK3Pn,https://api.spotify.com/v1/audio-analysis/3duWVvXdyhAOEInLZoK3Pn,221748,4,Dona Felicidade,Patati Patatï¿
